year,title,original_title,country
"1961

(34th)","Harry and the Butler","Harry og kammertjeneren","Denmark"
"1983

(56th)","Job's Revolt","Jób lázadása","Hungary"
"2008

(81st)","The Baader Meinhof Complex","Der Baader Meinhof Komplex","Germany"
"1980

(53rd)","Kagemusha (The Shadow Warrior)","Kagemusha

影武者","Japan"
"1965

(38th)","Blood on the Land","To Homa vaftike kokkino

Το χώμα βάφτηκε κόκκινο","Greece"
"2000

(73rd)","Crouching Tiger, Hidden Dragon","Wòhǔ Cánglóng

臥虎藏龍","Taiwan"
"1972

(45th)","The Dawns Here Are Quiet","A zori zdes tikhie

А зори здесь тихие","Soviet Union"
"2016

(89th)","Toni Erdmann","Toni Erdmann","Germany"
"1992

(65th)","Close to Eden","Urga

Урга","Russia"
"2015

(88th)","Mustang","Mustang","France"
"1998

(71st)","The Grandfather","El abuelo","Spain"
"1963

(36th)","Los Tarantos","Los Tarantos","Spain"
"1966

(39th)","Loves of a Blonde","Lásky jedné plavovlásky","Czechoslovakia"
"1985

(58th)","The Official Story","La historia oficial","Argentina"
"1969

(42nd)","The Brothers Karamazov","Bratya Karamazovy

Братья Карамазовы","Soviet Union"
"1972

(45th)","The Discreet Charm of the Bourgeoisie","Le Charme discret de la bourgeoisie","France"
"1975

(48th)","Scent of a Woman","Profumo di donna","Italy"
"1964

(37th)","Sallah","Sallah Shabati

סאלח שבתי","Israel"
"1999

(72nd)","All About My Mother","Todo sobre mi madre","Spain"
"1989

(62nd)","Waltzing Regitze","Dansen med Regitze","Denmark"
"1994

(67th)","Farinelli: Il Castrato","Farinelli","Belgium"
"1978

(51st)","Hungarians","Magyarok","Hungary"
"2008

(81st)","Departures","Okuribito

おくりびと","Japan"
"1995

(68th)","The Star Maker","L'uomo delle stelle","Italy"
"2011

(84th)","In Darkness","W ciemności","Poland"
"1974

(47th)","Amarcord","Amarcord","Italy"
"1999

(72nd)","Under the Sun","Under solen","Sweden"
"1983

(56th)","Fanny and Alexander","Fanny och Alexander","Sweden"
"1979

(52nd)","To Forget Venice","Dimenticare Venezia","Italy"
"1962

(35th)","Keeper of Promises (The Given Word)","O Pagador de Promessas","Brazil"
"1998

(71st)","Life Is Beautiful","La vita è bella","Italy"
"2005

(78th)","Joyeux Noël","Joyeux Noël","France"
"1997

(70th)","Secrets of the Heart","Secretos del corazón","Spain"
"1965

(38th)","The Shop on Main Street","Obchod na korze","Czechoslovakia"
"2013

(86th)","The Missing Picture","L'image manquante","Cambodia"
"1970

(43rd)","First Love","Erste Liebe","Switzerland"
"1975

(48th)","Sandakan No. 8","Sandakan hachibanshokan bohkyo

サンダカン八番娼館 望郷","Japan"
"1989

(62nd)","Camille Claudel","Camille Claudel","France"
"1980

(53rd)","The Last Metro","Le Dernier Métro","France"
"1997

(70th)","Four Days in September","O Que é Isso, Companheiro?","Brazil"
"2006

(79th)","Days of Glory","Indigènes","Algeria"
"1996

(69th)","Prisoner of the Mountains","Kavkazskiy plennik

Кавказский пленник","Russia"
"1988

(61st)","Salaam Bombay!","Salaam Bombay!

सलाम बॉम्बे","India"
"1971

(44th)","The Policeman","Ha-Shoter Azulai

השוטר אזולאי","Israel"
"2011

(84th)","Bullhead","Rundskop","Belgium"
"1962

(35th)","Sundays and Cybele","Les Dimanches de Ville d'Avray","France"
"1967

(40th)","I Even Met Happy Gypsies","Skupljači perja

Скупљачи перја","Yugoslavia"
"1957

(30th)","Mother India","Mother India Hindi: मदर इण्डिया","India"
"1963

(36th)","The Red Lanterns","Ta Kokkina fanaria

Τα κόκκινα φανάρια","Greece"
"2009

(82nd)","The Milk of Sorrow","La teta asustada","Peru"
"1974

(47th)","The Deluge","Potop","Poland"
"2001

(74th)","Elling","Elling","Norway"
"1998

(71st)","Central Station","Central do Brasil","Brazil"
"1986

(59th)","38 !'38'","38 – Auch das war Wien","Austria"
