Submitting country,Number ofwinning films,Number ofnominated films,Number ofsubmitted films,Reference
"France[b]","&&&&&&&&+12","&&&&&&&&+39","&&&&&&&&+63","[2]"
"Albania","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&+10",""
"Burkina Faso","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+1",""
"West Germany[e]","&&&&&&&&&+1","&&&&&&&&&+8","&&&&&&&&+29","[16]"
"United Kingdom[h]","&&&&&&&&&+0","&&&&&&&&&+2","&&&&&&&&+14","[36]"
"Yugoslavia[g]","&&&&&&&&&+0","&&&&&&&&&+6","&&&&&&&&+29","[29]"
"Mexico","&&&&&&&&&+0","&&&&&&&&&+8","&&&&&&&&+49","[27]"
"Thailand","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&+23",""
"Nepal","&&&&&&&&&+0","&&&&&&&&&+1","&&&&&&&&&+8","[50]"
"Poland","&&&&&&&&&+1","&&&&&&&&+10","&&&&&&&&+48","[15]"
"Serbia","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&+23",""
"Taiwan","&&&&&&&&&+1","&&&&&&&&&+3","&&&&&&&&+42","[20]"
"China","&&&&&&&&&+0","&&&&&&&&&+2","&&&&&&&&+30","[35]"
"Iran","&&&&&&&&&+1","&&&&&&&&&+3","&&&&&&&&+22","[22]"
"Bolivia","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+8",""
"Cambodia","&&&&&&&&&+0","&&&&&&&&&+1","&&&&&&&&&+5","[51]"
"Nicaragua","&&&&&&&&&+0","&&&&&&&&&+1","&&&&&&&&&+3","[53]"
"Peru","&&&&&&&&&+0","&&&&&&&&&+1","&&&&&&&&+23","[40]"
"Iceland","&&&&&&&&&+0","&&&&&&&&&+1","&&&&&&&&+37","[38]"
"Pakistan","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+6",""
"Romania","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&+32",""
"South Korea","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&+28",""
"Latvia","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+8",""
"Czechoslovakia[f]","&&&&&&&&&+2","&&&&&&&&&+6","&&&&&&&&+23","[12]"
"Sweden","&&&&&&&&&+3","&&&&&&&&+15","&&&&&&&&+55","[5]"
"Ireland","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+4",""
"Colombia","&&&&&&&&&+0","&&&&&&&&&+1","&&&&&&&&+25",""
"Malta","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+1",""
"Cuba","&&&&&&&&&+0","&&&&&&&&&+1","&&&&&&&&+19","[42]"
"Moldova","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+2",""
"Finland","&&&&&&&&&+0","&&&&&&&&&+1","&&&&&&&&+30","[39]"
"Cameroon","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+2",""
"Afghanistan","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&+11",""
"Yemen","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+1",""
"Georgia[d]","&&&&&&&&&+0","&&&&&&&&&+1","&&&&&&&&+15","[44]"
"Lebanon","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&+13",""
"Spain","&&&&&&&&&+4","&&&&&&&&+19","&&&&&&&&+59","[3]"
"Iraq","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+7",""
"Lithuania","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+9",""
"Bulgaria","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&+27",""
"Kazakhstan[d]","&&&&&&&&&+0","&&&&&&&&&+1","&&&&&&&&+11","[49]"
"Kenya","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+1",""
"Italy[a]","&&&&&&&&+14","&&&&&&&&+31","&&&&&&&&+63","[1]"
"Fiji","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+1",""
"Morocco","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&+12",""
"Dominican Republic","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+9",""
"Uruguay","&&&&&&&&&+0","&&&&&&&&&+1[k]","&&&&&&&&+16","[43]"
"Ivory Coast","&&&&&&&&&+1","&&&&&&&&&+1","&&&&&&&&&+2","[25]"
"Luxembourg","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&+13",""
"Chad","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+2",""
"Belgium","&&&&&&&&&+0","&&&&&&&&&+7","&&&&&&&&+41","[28]"
"Russia[d]","&&&&&&&&&+1","&&&&&&&&&+6","&&&&&&&&+24","[18]"
"Philippines","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&+28",""
"Algeria","&&&&&&&&&+1","&&&&&&&&&+5","&&&&&&&&+18","[19]"
"Malaysia","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+4",""
"Switzerland","&&&&&&&&&+2","&&&&&&&&&+5","&&&&&&&&+44","[13]"
"Netherlands","&&&&&&&&&+3","&&&&&&&&&+7","&&&&&&&&+49","[8]"
"Brazil","&&&&&&&&&+0","&&&&&&&&&+4","&&&&&&&&+44","[32]"
"Chile","&&&&&&&&&+0","&&&&&&&&&+1","&&&&&&&&+21","[41]"
"Guatemala","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+2",""
"Ecuador","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+5",""
"Tunisia","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+3",""
"Croatia","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&+25",""
"Bosnia & Herzegovina[g]","&&&&&&&&&+1","&&&&&&&&&+1","&&&&&&&&+16","[24]"
"Australia","&&&&&&&&&+0","&&&&&&&&&+1","&&&&&&&&+10",""
"Soviet Union[d]","&&&&&&&&&+3","&&&&&&&&&+9","&&&&&&&&+24","[7]"
"Costa Rica","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+5",""
"Singapore","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&+10",""
"Bangladesh","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&+12",""
"Sri Lanka","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+2",""
"Belarus","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+2",""
"Portugal","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&+33",""
"Jordan","&&&&&&&&&+0","&&&&&&&&&+1","&&&&&&&&&+3",""
"Slovakia","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&+20",""
"Norway","&&&&&&&&&+0","&&&&&&&&&+5","&&&&&&&&+38","[30]"
"Armenia","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+5",""
"Turkey","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&+23",""
"Ukraine","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+9",""
"Japan[c]","&&&&&&&&&+4","&&&&&&&&+15","&&&&&&&&+63","[4]"
"Venezuela","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&+26",""
"Saudi Arabia","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+2",""
"Paraguay","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+1",""
"Greenland","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+2",""
"Austria","&&&&&&&&&+2","&&&&&&&&&+4","&&&&&&&&+40","[14]"
"Democratic Republic of the Congo","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+1",""
"Denmark","&&&&&&&&&+3","&&&&&&&&+12","&&&&&&&&+54","[6]"
"Kosovo","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+3",""
"Mongolia","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+3",""
"Tajikistan","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+2",""
"Montenegro","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+4",""
"Indonesia","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&+18",""
"Germany[e]","&&&&&&&&&+2","&&&&&&&&+10","&&&&&&&&+26","[10]"
"Ethiopia","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+3",""
"East Germany[e]","&&&&&&&&&+0","&&&&&&&&&+1","&&&&&&&&&+5","[52]"
"Israel","&&&&&&&&&+0","&&&&&&&&+10","&&&&&&&&+49","[26]"
"Kyrgyzstan","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+9",""
"Palestine[i]","&&&&&&&&&+0","&&&&&&&&&+2","&&&&&&&&&+9","[37]"
"Hungary","&&&&&&&&&+2","&&&&&&&&&+9","&&&&&&&&+52","[9]"
"South Africa","&&&&&&&&&+1","&&&&&&&&&+2","&&&&&&&&+13","[23]"
"Czech Republic[f]","&&&&&&&&&+1","&&&&&&&&&+3","&&&&&&&&+23","[21]"
"Puerto Rico[j]","&&&&&&&&&+0","&&&&&&&&&+1","&&&&&&&&+12","[47]"
"Tanzania","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+1",""
"Bhutan","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+1",""
"Estonia","&&&&&&&&&+0","&&&&&&&&&+1","&&&&&&&&+14","[45]"
"New Zealand","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+4",""
"India[j]","&&&&&&&&&+0","&&&&&&&&&+3","&&&&&&&&+49","[33]"
"Panama","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+3",""
"Argentina","&&&&&&&&&+2","&&&&&&&&&+7","&&&&&&&&+43","[11]"
"Kuwait","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+2",""
"Slovenia","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&+20",""
"Mauritania","&&&&&&&&&+0","&&&&&&&&&+1","&&&&&&&&&+1","[54]"
"Canada","&&&&&&&&&+1","&&&&&&&&&+7","&&&&&&&&+42","[17]"
"Greece","&&&&&&&&&+0","&&&&&&&&&+5","&&&&&&&&+36","[31]"
"Azerbaijan","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&&+6",""
"Macedonia[g]","&&&&&&&&&+0","&&&&&&&&&+1","&&&&&&&&+14","[46]"
"Hong Kong","&&&&&&&&&+0","&&&&&&&&&+2","&&&&&&&&+35","[34]"
"Egypt[k]","&&&&&&&&&+0","&&&&&&&&&+0","&&&&&&&&+31",""
"Vietnam","&&&&&&&&&+0","&&&&&&&&&+1","&&&&&&&&+12","[48]"
