name,nominated,won,xpos,ypos,,
Emil Jannings ,1,1,893.2763,183.48299,,"{'name' : 'Emil Jannings ', 'value':1},"
Richard Barthelmess ,1,0,865.3454,302.27792,,"{'name' : 'Richard Barthelmess ', 'value':1},"
Chester Morris ,1,0,925.1959,87.75088,,"{'name' : 'Chester Morris ', 'value':1},"
George Bancroft ,1,0,294.29123,488.35855,,"{'name' : 'George Bancroft ', 'value':1},"
Lewis Stone ,1,0,690.363,397.42474,,"{'name' : 'Lewis Stone ', 'value':1},"
Paul Muni ,6,1,561.44763,553.8318,,"{'name' : 'Paul Muni ', 'value':6},"
Warner Baxter ,1,1,318.74808,379.62692,,"{'name' : 'Warner Baxter ', 'value':1},"
George Arliss ,2,1,1180.5452,194.49559,,"{'name' : 'George Arliss ', 'value':2},"
Lawrence Tibbett ,1,0,1069.5979,282.87024,,"{'name' : 'Lawrence Tibbett ', 'value':1},"
Maurice Chevalier ,1,0,495.58026,531.1909,,"{'name' : 'Maurice Chevalier ', 'value':1},"
Ronald Colman ,3,1,1080.9102,690.1501,,"{'name' : 'Ronald Colman ', 'value':3},"
Wallace Beery ,2,1,1138.9535,569.21375,,"{'name' : 'Wallace Beery ', 'value':2},"
Adolphe Menjou ,1,0,1077.6378,109.37,,"{'name' : 'Adolphe Menjou ', 'value':1},"
Fredric March ,5,2,880.9173,244.64445,,"{'name' : 'Fredric March ', 'value':5},"
Jackie Cooper ,1,0,274.96497,121.99692,,"{'name' : 'Jackie Cooper ', 'value':1},"
Lionel Barrymore ,1,1,112.28304,235.17728,,"{'name' : 'Lionel Barrymore ', 'value':1},"
Richard Dix ,1,0,925.3669,574.5165,,"{'name' : 'Richard Dix ', 'value':1},"
Alfred Lunt ,1,0,479.24213,710.05,,"{'name' : 'Alfred Lunt ', 'value':1},"
Charles Laughton ,3,1,190.9318,188.38864,,"{'name' : 'Charles Laughton ', 'value':3},"
Leslie Howard ,2,0,172.97134,470.5554,,"{'name' : 'Leslie Howard ', 'value':2},"
Clark Gable ,3,1,718.6263,144.3799,,"{'name' : 'Clark Gable ', 'value':3},"
Frank Morgan ,2,0,560.745,636.6954,,"{'name' : 'Frank Morgan ', 'value':2},"
William Powell ,3,0,1129.2272,162.74884,,"{'name' : 'William Powell ', 'value':3},"
Franchot Tone ,1,0,1270.05,659.2564,,"{'name' : 'Franchot Tone ', 'value':1},"
Victor McLaglen ,2,1,1070.5851,316.59085,,"{'name' : 'Victor McLaglen ', 'value':2},"
Akim Tamiroff ,2,0,19.9,607.5083,,"{'name' : 'Akim Tamiroff ', 'value':2},"
Basil Rathbone ,2,0,398.872,662.12726,,"{'name' : 'Basil Rathbone ', 'value':2},"
Gary Cooper ,5,2,1230.25,281.16693,,"{'name' : 'Gary Cooper ', 'value':5},"
Mischa Auer ,1,0,920.775,555.1535,,"{'name' : 'Mischa Auer ', 'value':1},"
