name;nominated;won;xpos;ypos
Emil Jannings ;1;1;230.6118;548.4788
Richard Barthelmess ;1;0;599.0333;504.7887
Chester Morris ;1;0;335.47736;637.4438
George Bancroft ;1;0;369.43698;547.1297
Lewis Stone ;1;0;94.256004;278.3587
Paul Muni ;6;1;611.5673;132.67265
Warner Baxter ;1;1;348.39032;279.16827
George Arliss ;2;1;412.36273;614.69006
Lawrence Tibbett ;1;0;413.42917;633.9045
Maurice Chevalier ;1;0;600.4915;492.05634
Ronald Colman ;3;1;528.01013;142.13301
Wallace Beery ;2;1;250.1022;273.3028
Adolphe Menjou ;1;0;744.7198;297.6546
Fredric March ;5;2;197.05632;134.01186
Jackie Cooper ;1;0;594.61017;367.67993
Lionel Barrymore ;1;1;457.92734;481.17963
Richard Dix ;1;0;283.98618;631.20105
Alfred Lunt ;1;0;248.30685;356.00238
Charles Laughton ;3;1;489.86078;384.4312
Leslie Howard ;2;0;376.01266;255.92683
Clark Gable ;3;1;136.1408;201.28903
Frank Morgan ;2;0;268.83844;617.77496
William Powell ;3;0;573.36237;353.3219
Franchot Tone ;1;0;554.4215;441.75223
Victor McLaglen ;2;1;617.9264;290.39108
Akim Tamiroff ;2;0;456.5816;398.65283
Basil Rathbone ;2;0;468.37936;650.79614
Gary Cooper ;5;2;424.66342;461.95984
Mischa Auer ;1;0;599.1575;355.68927
Spencer Tracy ;9;2;664.991;512.71924
Stuart Erwin ;1;0;357.39066;552.1465
Walter Brennan ;4;3;495.69846;558.7474
Walter Huston ;4;1;719.1803;274.53723
Charles Boyer ;4;0;261.18292;656.8414
H. B. Warner ;1;0;723.9848;487.74335
Joseph Schildkraut ;1;1;585.564;330.7603
Ralph Bellamy ;1;0;639.1502;624.2581
Robert Montgomery ;2;0;353.41943;695.00073
Roland Young ;1;0;356.48184;675.7636
Thomas Mitchell ;2;1;654.62305;582.3863
Gene Lockhart ;1;0;655.00507;148.31392
James Cagney ;3;1;464.3071;135.06882
John Garfield ;2;0;337.5147;584.9913
Robert Donat ;2;1;250.83417;298.89236
Robert Morley ;1;0;338.0134;604.45465
Brian Aherne ;1;0;158.08008;250.20778
Brian Donlevy ;1;0;342.2776;254.84058
Claude Rains ;4;0;407.1701;137.85307
Harry Carey ;1;0;355.852;579.15985
James Stewart ;5;1;219.31186;616.9681
Laurence Olivier ;9;1;536.6074;632.87714
Mickey Rooney ;4;0;375.3918;296.79468
Albert Basserman ;1;0;256.26184;602.8597
Charles Chaplin ;1;0;137.85374;471.26328
Henry Fonda ;2;1;215.25581;569.3499
Jack Oakie ;1;0;677.38794;172.2175
James Stephenson ;1;0;638.02954;570.8086
Raymond Massey ;1;0;524.1815;400.7221
William Gargan ;1;0;649.5806;324.96066
Cary Grant ;2;0;339.4235;558.9188
Charles Coburn ;3;1;166.00864;440.85013
Donald Crisp ;1;1;302.88223;276.99792
James Gleason ;1;0;340.28104;650.2444
Orson Welles ;1;0;186.8554;425.6752
Sydney Greenstreet ;1;0;188.00233;211.52562
Henry Travers ;1;0;148.1174;461.01846
Monty Woolley ;2;0;421.55173;182.85548
Van Heflin ;1;1;440.6948;571.069
Walter Pidgeon ;2;0;464.96603;677.31775
William Bendix ;1;0;428.96414;576.2917
Charles Bickford ;3;0;426.94727;410.80353
Humphrey Bogart ;3;1;734.7302;356.50067
J. Carrol Naish ;2;0;545.9778;377.87967
Paul Lukas ;1;1;222.17606;242.24632
Alexander Knox ;1;0;597.8836;517.5571
Barry Fitzgerald ;2;1;477.03726;414.14008
Bing Crosby ;3;1;427.00348;699.82935
Clifton Webb ;3;0;555.65314;467.38162
Hume Cronyn ;1;0;374.05988;328.82755
Cornel Wilde ;1;0;625.94025;177.8371
Gene Kelly ;1;0;157.6714;601.7265
Gregory Peck ;5;1;275.73438;223.34424
James Dunn ;1;1;403.8829;191.29193
John Dall ;1;0;672.8932;422.0559
Michael Chekhov ;1;0;349.44016;641.2982
Ray Milland ;1;1;187.01738;353.97226
Robert Mitchum ;1;0;655.97797;200.9219
Harold Russell ;1;1;751.89606;336.9809
Larry Parks ;1;0;150.33969;474.12714
William Demarest ;1;0;727.9035;500.17368
Edmund Gwenn ;2;1;442.88385;159.12619
Michael Redgrave ;1;0;226.76492;658.82446
Richard Widmark ;1;0;361.13153;268.0846
Robert Ryan ;1;0;348.06525;665.7555
Thomas Gomez ;1;0;666.01227;140.93553
Cecil Kellaway ;2;0;330.49854;481.05392
Dan Dailey ;1;0;212.01837;221.01088
Jose Ferrer ;3;1;388.58627;697.055
Lew Ayres ;1;0;623.16614;372.91766
Montgomery Clift ;4;0;253.69025;570.7283
Oscar Homolka ;1;0;632.2011;361.66504
Arthur Kennedy ;5;0;352.25092;217.71118
Broderick Crawford ;1;1;202.29616;398.9521
Dean Jagger ;1;1;161.68086;197.9726
James Whitmore ;2;0;741.9851;319.4095
John Ireland ;1;0;318.9007;637.40674
John Wayne ;2;1;668.06213;442.15234
Kirk Douglas ;3;0;587.9619;279.0433
Ralph Richardson ;2;0;399.33493;266.7359
Richard Todd ;1;0;157.83398;137.3251
Erich von Stroheim ;1;0;177.47467;171.86476
George Sanders ;1;1;198.25424;557.21155
Jeff Chandler ;1;0;361.49207;326.1798
Louis Calhern ;1;0;210.28082;379.06927
Sam Jaffe ;1;0;192.03474;446.69815
William Holden ;3;1;438.43588;639.4849
Gig Young ;3;1;220.68182;288.1668
Karl Malden ;2;1;308.89227;536.5883
Kevin McCarthy ;1;0;350.57245;319.39877
Leo Genn ;1;0;200.53201;214.29749
Marlon Brando ;8;2;265.24152;488.48346
Peter Ustinov ;3;2;393.7458;345.35373
Alec Guinness ;4;1;664.18024;353.56357
Anthony Quinn ;4;2;324.3247;300.83063
Arthur Hunnicutt ;1;0;186.66219;512.6008
Jack Palance ;3;1;331.24426;513.0647
Richard Burton ;7;0;588.34827;212.6206
Brandon De Wilde ;1;0;550.1653;56.452953
Burt Lancaster ;4;1;218.77043;187.99724
Eddie Albert ;2;0;541.44507;427.53906
Frank Sinatra ;2;1;647.8487;607.12445
Robert Strauss ;1;0;611.5407;547.9268
Dan O'Herlihy ;1;0;618.7351;360.83386
Edmond O'Brien ;2;1;212.03113;543.5041
James Mason ;3;0;415.24542;214.26569
Lee J. Cobb ;2;0;286.51053;266.84033
Rod Steiger ;3;1;702.00934;378.61566
Tom Tully ;1;0;423.81128;385.12753
Arthur O'Connell ;2;0;206.28683;513.8888
Ernest Borgnine ;1;0;696.19196;353.39285
Jack Lemmon ;8;2;517.9989;309.71976
James Dean ;2;0;643.0505;285.10413
Joe Mantell ;1;0;702.3392;460.27756
Sal Mineo ;2;0;583.09436;483.87234
Anthony Perkins ;1;0;524.6798;436.94318
Don Murray ;1;0;138.52289;174.8769
Robert Stack ;1;0;608.681;482.20352
Rock Hudson ;1;0;521.63947;449.39267
Sir Laurence Olivier ;1;0;175.79689;215.45247
Yul Brynner ;1;1;196.69061;345.54483
Anthony Franciosa ;1;0;439.1651;139.99483
Red Buttons ;1;1;528.5393;412.81406
Russ Tamblyn ;1;0;610.43915;591.45105
Sessue Hayakawa ;1;0;625.0433;569.9501
Vittorio De Sica ;1;0;440.20462;178.15077
Burl Ives ;1;1;337.66858;539.15466
David Niven ;1;1;641.1795;199.77011
Paul Newman ;9;1;345.69943;407.70328
Sidney Poitier ;2;1;395.86038;239.74887
Theodore Bikel ;1;0;440.10617;125.58272
Tony Curtis ;1;0;451.86618;662.89923
Charlton Heston ;1;1;352.68713;653.7608
Ed Wynn ;1;0;174.21274;520.1004
George C. Scott ;4;1;368.33685;487.7667
Hugh Griffith ;2;1;484.2554;696.81635
Laurence Harvey ;1;0;628.61707;607.95825
Robert Vaughn ;1;0;338.03586;331.30496
Chill Wills ;1;0;691.039;454.1543
Jack Kruschen ;1;0;517.7286;695.1563
Peter Falk ;2;0;580.06964;509.30124
Trevor Howard ;1;0;663.6711;251.37978
George Chakiris ;1;1;128.23477;516.1279
Jackie Gleason ;1;0;563.5061;156.30037
Maximilian Schell ;3;1;184.40312;578.8949
Stuart Whitman ;1;0;686.1637;574.27295
Ed Begley ;1;1;575.27435;161.75832
Marcello Mastroianni ;3;0;613.92676;629.3673
Omar Sharif ;1;0;562.94147;390.99707
Peter O'Toole ;8;0;112.02128;391.88455
Telly Savalas ;1;0;685.02216;416.2699
Terence Stamp ;1;0;370.24332;519.7103
Victor Buono ;1;0;162.463;150.7823
Albert Finney ;5;0;447.97952;354.6626
Bobby Darin ;1;0;365.74545;710.7355
John Huston ;1;0;727.0663;384.07367
Melvyn Douglas ;3;2;184.62077;379.5691
Nick Adams ;1;0;596.1666;608.4264
Rex Harrison ;2;1;582.87756;311.31125
Richard Harris ;2;0;150.03981;584.0734
John Gielgud ;2;1;553.4988;499.3331
Lee Tracy ;1;0;241.69359;541.0539
Peter Sellers ;2;0;457.15808;559.9594
Stanley Holloway ;1;0;540.4875;408.09448
Frank Finlay ;1;0;98.27409;226.1608
Ian Bannen ;1;0;600.8152;301.34552
Lee Marvin ;1;1;284.53986;555.14264
Martin Balsam ;1;1;163.90544;210.6352
Michael Dunn ;1;0;612.02155;261.3089
Oskar Werner ;1;0;122.93392;558.527
Tom Courtenay ;2;0;174.08955;409.87448
Alan Arkin ;4;1;152.36519;545.18335
George Segal ;1;0;566.8057;261.02994
Mako ;1;0;345.40045;629.1401
Michael Caine ;6;2;605.12177;437.5393
Paul Scofield ;2;1;505.53946;438.86246
Robert Shaw ;1;0;672.91205;188.4117
Steve McQueen ;1;0;673.8208;589.62085
Walter Matthau ;3;1;382.15915;176.133
Dustin Hoffman ;7;2;503.42706;79.8138
Gene Hackman ;5;2;722.364;426.1708
George Kennedy ;1;1;673.35034;576.81464
John Cassavetes ;1;0;225.14438;395.7014
Michael J. Pollard ;1;0;407.18533;170.05098
Warren Beatty ;4;0;226.20267;332.63168
Alan Bates ;1;0;580.5047;74.28042
Cliff Robertson ;1;1;365.23376;344.13763
Daniel Massey ;1;0;102.29335;519.6491
Gene Wilder ;1;0;572.89453;327.7194
Jack Albertson ;1;1;222.67787;364.5736
Jack Wild ;1;0;592.1792;81.102234
Ron Moody ;1;0;641.8645;212.61104
Seymour Cassel ;1;0;553.8028;142.26694
Anthony Quayle ;1;0;230.06363;535.6569
Elliott Gould ;1;0;540.74225;234.18344
Jack Nicholson ;12;3;304.8391;118.08467
Jon Voight ;4;1;306.14163;607.5328
Rupert Crosse ;1;0;312.9071;203.44823
Chief Dan George ;1;0;534.7318;393.46667
James Earl Jones ;1;0;571.2856;577.9474
John Marley ;1;0;385.10245;671.12134
John Mills ;1;1;486.16278;434.73785
Richard Castellano ;1;0;267.15363;264.4362
Ryan O'Neal ;1;0;169.0172;162.0734
Ben Johnson ;1;1;318.5508;465.915
Jeff Bridges ;6;1;412.51797;534.54944
Leonard Frey ;1;0;348.47214;266.06766
Peter Finch ;2;1;561.305;74.51526
Richard Jaeckel ;1;0;690.32855;403.80353
Roy Scheider ;2;0;158.75522;178.62814
Topol ;1;0;326.2488;544.9477
Al Pacino ;8;1;492.35434;202.8624
James Caan ;1;0;473.4774;433.0214
Joel Grey ;1;1;406.728;287.74567
Paul Winfield ;1;0;160.02203;465.74265
Robert Duvall ;7;1;414.62122;65.56908
Jack Gilford ;1;0;438.67072;665.2218
Jason Miller ;1;0;186.30797;552.58014
John Houseman ;1;1;661.11865;264.14282
Randy Quaid ;1;0;493.6504;423.77826
Robert Redford ;1;0;296.8329;551.5316
Vincent Gardenia ;2;0;130.53514;453.1743
Art Carney ;1;1;327.71844;647.63837
Fred Astaire ;1;0;241.43799;241.22668
Lee Strasberg ;1;0;343.28043;343.60226
Michael V. Gazzo ;1;0;324.22733;570.6904
Robert De Niro ;7;2;159.97377;308.66263
Brad Dourif ;1;0;294.73953;287.88474
Burgess Meredith ;2;0;174.85579;610.84326
Chris Sarandon ;1;0;250.9526;194.00177
George Burns ;1;1;565.20123;378.33698
Jack Warden ;2;0;609.1759;386.09537
Burt Young ;1;0;665.3497;599.22156
Giancarlo Giannini ;1;0;505.43143;699.1878
Jason Robards ;3;2;316.52216;255.31914
Ned Beatty ;1;0;228.97191;157.275
Sylvester Stallone ;1;0;532.3056;456.65198
John Travolta ;2;0;275.66147;290.05872
Mikhail Baryshnikov ;1;0;566.5123;143.82523
Peter Firth ;1;0;501.12836;686.372
Richard Dreyfuss ;2;1;305.0433;569.0073
Woody Allen ;1;0;363.99197;29.544395
Bruce Dern ;2;0;701.90753;334.84955
Christopher Walken ;2;1;496.07474;138.94543
Gary Busey ;1;0;78.62078;448.98947
John Hurt ;2;0;454.46396;428.49097
Richard Farnsworth ;2;0;680.2937;265.74838
Frederic Forrest ;1;0;522.0819;424.07812
Justin Henry ;1;0;237.32788;362.66367
Joe Pesci ;2;1;468.23917;451.4938
Judd Hirsch ;1;0;250.09393;181.20445
Michael O'Keefe ;1;0;488.84378;677.6206
Timothy Hutton ;1;1;417.63385;582.3149
Dudley Moore ;1;0;238.99686;253.92711
Howard E. Rollins, Jr. ;1;0;481.85867;666.56055
Ian Holm ;1;0;548.3419;358.81763
James Coco ;1;0;598.3802;595.8048
Ben Kingsley ;4;1;677.35803;304.08646
Charles Durning ;2;0;462.20078;522.1177
John Lithgow ;2;0;459.01086;702.43225
Louis Gossett, Jr. ;1;1;106.46226;216.28383
Robert Preston ;1;0;540.4365;446.76572
Rip Torn ;1;0;289.07574;580.299
Sam Shepard ;1;0;232.59203;265.33475
Tom Conti ;1;0;417.67505;595.36273
Adolph Caesar ;1;0;231.41562;374.06235
F. Murray Abraham ;1;1;438.70575;112.63723
Haing S. Ngor ;1;1;222.41666;383.18533
John Malkovich ;2;0;414.06253;660.30304
Noriyuki 'Pat' Morita ;1;0;204.55266;95.246086
Sam Waterston ;1;0;679.3239;158.43242
Tom Hulce ;1;0;216.60388;90.75754
Don Ameche ;1;1;115.37801;514.1969
